drug_id,target_id,label,affinity,pKd
D0000,T0000,0,43.0,7.3655227298392685
D0000,T0001,0,10000.0,4.999995657076895
D0000,T0002,0,10000.0,4.999995657076895
D0000,T0003,0,10000.0,4.999995657076895
D0000,T0004,0,10000.0,4.999995657076895
D0000,T0005,0,10000.0,4.999995657076895
D0000,T0006,0,10000.0,4.999995657076895
D0000,T0007,0,10000.0,4.999995657076895
D0000,T0008,0,10000.0,4.999995657076895
D0000,T0009,0,10000.0,4.999995657076895
D0000,T0010,0,10000.0,4.999995657076895
D0000,T0011,0,10000.0,4.999995657076895
D0000,T0012,0,10000.0,4.999995657076895
D0000,T0013,0,10000.0,4.999995657076895
D0000,T0014,0,10000.0,4.999995657076895
D0000,T0015,0,10000.0,4.999995657076895
D0000,T0016,0,10000.0,4.999995657076895
D0000,T0017,0,10000.0,4.999995657076895
D0000,T0018,0,10000.0,4.999995657076895
D0000,T0019,0,10000.0,4.999995657076895
D0000,T0020,0,10000.0,4.999995657076895
D0000,T0021,0,10000.0,4.999995657076895
D0000,T0022,0,10000.0,4.999995657076895
D0000,T0023,0,10000.0,4.999995657076895
D0000,T0024,0,76.0,7.118615343229427
D0000,T0025,0,2900.0,5.53758702668745
D0000,T0026,0,180.0,6.744486287180466
D0000,T0027,0,10000.0,4.999995657076895
D0000,T0028,0,10000.0,4.999995657076895
D0000,T0029,0,10000.0,4.999995657076895
D0000,T0030,0,10000.0,4.999995657076895
D0000,T0031,0,10000.0,4.999995657076895
D0000,T0032,0,10000.0,4.999995657076895
D0000,T0033,0,10000.0,4.999995657076895
D0000,T0034,0,10000.0,4.999995657076895
D0000,T0035,0,10000.0,4.999995657076895
D0000,T0036,0,8400.0,5.075715543796489
D0000,T0037,0,10000.0,4.999995657076895
D0000,T0038,0,120.0,6.920456992597094
D0000,T0039,0,10000.0,4.999995657076895
D0000,T0040,0,10000.0,4.999995657076895
D0000,T0041,0,10000.0,4.999995657076895
D0000,T0042,0,10000.0,4.999995657076895
D0000,T0043,0,10000.0,4.999995657076895
D0000,T0044,0,10000.0,4.999995657076895
D0000,T0045,0,10000.0,4.999995657076895
D0000,T0046,0,10000.0,4.999995657076895
D0000,T0047,0,10000.0,4.999995657076895
D0000,T0048,0,10000.0,4.999995657076895
D0000,T0049,0,10000.0,4.999995657076895
D0000,T0050,0,10000.0,4.999995657076895
D0000,T0051,0,2400.0,5.619770663061963
D0000,T0052,0,10000.0,4.999995657076895
D0000,T0053,0,320.0,6.494714325855868
D0000,T0054,0,970.0,6.013183495414464
D0000,T0055,0,270.0,6.568475415812549
D0000,T0056,0,890.0,6.0505611989634955
D0000,T0057,0,710.0,6.148680487351255
D0000,T0058,0,810.0,6.091461367828041
D0000,T0059,0,740.0,6.130709595790601
D0000,T0060,0,10000.0,4.999995657076895
